Box,Artist ,Additional Artist,Album,Sub,Notes,Other markings,
#3,Franck Pourcell ,Grand Orchestre,Music Parade,,2 Records,c184-15566/7-y,
#3,Serge Prokofiev,Czech Philharmonic Orchestra ,Romeo and Juliet,Scenes from the Ballet op.64,,STU70890,
#3,Puccini ,William Johns ,Messa Di Gloria ,,,MFP2030,
#3,Sergei Rachmaninov,Los Angeles Philharmonic/ Alfred Wallenstein,Symphony No.2 in E Minor Op27,,,,
#3,Diana Ross and the Supremes,,Baby Love,,,SPR90001,
#3,Diana Ross and the Supremes,,Baby Love,,,SPR90001,
#3,Rachmaninov,Samuel Barber,Sonata in G Minor Op.19,,,XID5272,
#3,Ravel* / Debussy* / Hurník*,,Daphnis Et Chloé / Prélude À L'après-midi D'un Faune / Ondráš,,,SUA1011,
#3,Scott Joplin and Jelly Roll Morton,,Red Hot and Ragtime,,,GH651,
#3,Jim Reeves,,According To My Heart,,,INTS.G391013,
#3,Tom Mcclure,,Tribute To Jim Reeves,,,MFP 5259,
#3,Edmundo Ros And His Orchestra,,Dance Again,,,PFS.4016,
#3,Diana Ross ‎,,Touch Me In The Morning,,,STML 11239,
#3,Diana Ross ‎,,Last Time I Saw Him,,, M 812 V1,
#3,Rostal & Schaefer,With Alyn Ainsworth And His Orchestra,The Two Pianos Of Rostal And Schaefer,,,SPR 90047,
#3,D. Shostakovich," Leningrad State Philharmonic Society Symphony Orchestra*, Je. Mravinsky",Tenth Symphony Op 93,,, HD 02243-44,
#3,Sibelius,"The Scottish National Orchestra*, Alexander Gibson ‎",Symphony No. 3; Symphony No. 7,,,XID 5284,
#3,The Symphonic Strings,,Silent Night,,,ERL 50034,
#3,Strings For Pleasure,,Play Music Made Famous By Simon & Garfunkel,,,MFP 1403,
#3,Simon & Garfunkel ,,Simon And Garfunkel's Greatest Hits,,,69003,
#3,Shakin' Stevens,,Give Me Your Heart Tonight,,,EPC 10035,
#3,Del Shannon ,,The Best Of Del Shannon,,,2870 323,
#3,Del Shannon ,,The Best Of Del Shannon,,,2870 323,
#3,Artie Shaw And His Orchestra,,Concerto For Clarinet: The Best Of Artie Shaw,,, INTS 5022,
#3,Brendan Shine ,,Brendan Shine,,,PLAY 1015,
#3,Brendan Shine,,My Old Country Home,,Signed,PLAY LP1017,
#3,Brendan Shine,,With Love,,,PLAYTV2,
#3,Brendan Shine,,A picture of my world,,,PLAY LP 1022,
#3,Brendan Shine,,The Irish Side Of Brendan Shine,,,HPE616,
#3,Shostakovich,,"Czech Philharmonic Orchestra*, Karel Ančerl ",,, SUA ST 50052,
#3,Pierre Amoyal ," interprete Saint Saëns*, New Philharmonia Orch.* - Dir. Vernon Handley", Saint Saëns - Troisieme Pour Violin,,, STU 70985,
#3,Schubert, London Symphony Orchestra* Conducted By Leopold Ludwig ‎,"""Unfinished; Mozart Great G Minor",,,TP150,
#3,Schubert*, Alfred Brendel, Impromptus Op. 90 & 142,,, GBY 12.390,
#3,Jim Reeves ‎,,The Hits Of Jim Reeves,,,PL42179,
#4,Verdi,"Elisabeth Schwarzkopf, Christa Ludwig, Nicolai Gedda, Nicolai Ghiaurov, Philharmonia Orchestra, Philharmonia Chorus, Carlo Maria Giulini",Requiem Mass,,2 Record Collection,SLS 909,
#4,Mahler,"Leonard Bernstein, The London Symphony Orchestra",Symphony No. 8,,2 Record Collection,72491/92,
#4,George Frederick Handel,"The Royal Philharmonic Orchestra And The Royal Choral Society, Sir Malcolm Sargent",Messiah,,3 Record Collection,RDS 5084 RDS 5085 RDS 5086,
#4,Mahler,"Concertgebouw Orchestra, Amsterdam* Conducted By Bernard Haitink",Symphony No. 8 / Symphony Of A Thousand,,2 Record Collection,6700 049,
#4,Herbert von Karajan,"Berliner Philharmoniker, Wiener Singverein, Gundula Janowitz, Eberhard Wächter",Johannes Brahms: Ein Deutsches Requiem - Variationen Über Ein Thema von Haydn,,,138928/29,
#4,Various,,Gateway To The Classics,,10 Record Collection,"SM225, SM226, SM227, SM228, SM229, SM230, SM231, SM232, SM233, SM234",
#4,Artur Rubinstein,,The Artistry Of Artur Rubinstein,,Box set of 6,GAAR-6,
#4,Various,,Stereo Spectacular - Adventures In Sound,,Box set of 3, 236520/1/2,
#4,James Last,,East Meets West,,2 Record Collection,2630 092,
#4,Falstaff,,"Giuseppe Verdi, Wiener Philharmoniker, Leonard Bernstein ‎",,, cbs3002,
#4,Telemann,Kurt Redel,Markus-Passion - Passion Selon Saint-Marc,,2 Record Collection,SER 5507/8,
#4,Giacomo Puccini," Leontyne Price, Giuseppe Di Stefano, Giuseppe Taddei, Herbert Von Karajan ", Tosca,,Box set of 3,NE 1055,
#4,The London Symphony Orchestra ‎,, Encore,,,,
#4,Richard Wagner ," Herbert von Karajan, Berliner Philharmoniker",Der Ring Des Nibelungen (Gesamtausgabe),,Box set of 19, 2720 051,
#5,Puccini,"Victoria De Los Angeles, Jussi Björling, Sir Thomas Beecham","Highlights From ""La Boheme""",,,ALP 1921,
#5,Giuseppe Verdi,"James Levine, The Metropolitan Opera Orchestra And Chorus",La Traviata,,Box Set of 2,"	25-0072-1",
#5,Various,,The Land Of Smiles,,,CSD 1267,
#5,James Last,,James Last A Gogo,,,643304,
#5,James Last ,,Happy Hammond,,,2371 373,
#5,James Last,,Rock Around With Me!,,,249 250,
#5,James Last,,Make The Party Last,,,2371 612,
#5,James Last,,Weihnachten Mit James Last,,,815 199-1,
#5,James Last,,James Last In Concert,,,2371-191,
#5,James Last,,The Music Of James Last,,,2683 010,
#5,James Last,,Classics Up To Date,,,"	184 061",
#5,James Last,,The Very Best Of James Last,,,2371 054,
#5,James Last,and his Orchestra and Chorus,Golden Memories,,,2371 472,
#5,James Last,Orchestra and Chorus,Love Must Be The Reason,,,2371 281 A,
#5,James Last,,The Best From 150 Gold,,2 Record Collection,2681 211,
#5,James Last,,This Is James Last,,,104 678,
#5,James Last,,Non Stop Dancing 70,,,2371 014,
#5,The Syd Lawrence Orchestra,,The Syd Lawrence Orchestra Volume 1,,,ACLP 011,
#5,Harald Winkle,And The Orchester Norman Candler,Le Rêve,,,6.22974,
#5,Vicky Leandros,,I Am,,,6303 019,
#5,Raymond Lefevre,And His Orchestra,This Is Raymond Lefevre,,,DPS 2029,
#5,Michel Legrand,London Symphony Orchestra,The Umbrellas Of Cherbourg / Theme & Variations For Two Pianos & Orchestra (From The Go-Between),,,CBS 73886,
#5,Brenda Lee,,Johnny One Time,,,MUPS 396,
#5,Brenda Lee,,25th Anniversary,,,MCLD 609,
#5,Lehar,,The Merry Widow,,,OH 214,
